,소환사명,오브젝트,전투력,시야,성장력,로밍가치,원딜케어력,GameEyE,OP.GG,YOUR.GG
케넨,ail falld down,73.53,61.65,30.1,87.0,55,0,61.5,7.9,1.3
리븐,TF Bl4de,82.1,53.87,18.5,84.0,38,0,53.1,7.2,1.0
사일러스,너와나의연결Gori,81.24,68.63,19.0,86.0,38,0,60.7,7.4,1.2
카이사,XXX999,86.38,49.24,18.5,85.0,89,0,65.0,7.6,1.5
갈리오,dksarfuvic,69.24,46.13,35.25,71.0,94,51,58.2,6.6,0.8
라이즈,erewrf,13.62,30.5,12.4,63.0,38,0,34.8,4.9,0.8
리 신,pvman,17.9,47.86,18.85,66.0,41,0,39.5,5.5,0.5
아칼리,Tank Byul E,22.19,29.45,18.3,64.0,20,0,33.8,5.5,1.0
자야,GDAD1,13.62,47.42,9.55,65.0,18,0,39.2,5.6,1.0
쓰레쉬,Alps1,29.9,48.03,42.4,79.0,38,49,45.8,5.6,1.1
